profile,depth,time,latitude,longitude,chlorophyll
,m,UTC,degrees_north,degrees_east,mg m-3
55859,30.0,2023-07-05T05:07:57Z,34.2597225,-119.910505,1.9017272727272732
55860,30.0,2023-07-05T08:07:57Z,34.2585,-119.89403,2.45575
55861,30.0,2023-07-05T10:59:46Z,34.25777,-119.8755725,2.3540769230769225
55862,30.0,2023-07-05T13:37:32Z,34.2612725,-119.85255500000001,0.9766153846153848
55863,30.0,2023-07-05T16:07:06Z,34.254255,-119.857565,1.684
55864,30.0,2023-07-05T18:37:26Z,34.26403,-119.852985,0.7295000000000001
55865,30.0,2023-07-05T20:58:32Z,34.2607525,-119.85002,3.1622727272727276
55866,30.0,2023-07-05T23:21:26Z,34.2749125,-119.85566,0.8708181818181816
55867,30.0,2023-07-06T01:31:37Z,34.283575,-119.8448725,2.927769230769231
55868,30.0,2023-07-06T03:28:48Z,34.2861725,-119.83194,1.7953636363636365
55869,30.0,2023-07-06T05:14:36Z,34.2901525,-119.822455,1.693090909090909
55870,30.0,2023-07-06T06:59:06Z,34.2943925,-119.8176075,3.4004999999999996
55871,30.0,2023-07-06T08:42:15Z,34.29796,-119.81554750000001,2.3937272727272725
55872,30.0,2023-07-06T10:27:22Z,34.2986275,-119.8135025,2.244272727272728
55873,30.0,2023-07-06T11:53:22Z,34.29839,-119.81095,1.7759999999999998
55874,30.0,2023-07-06T13:13:35Z,34.298135,-119.80511,1.8804545454545456
55875,30.0,2023-07-06T14:12:05Z,34.298100000000005,-119.79968500000001,2.632636363636364
55876,30.0,2023-07-06T15:03:00Z,34.29807,-119.79414,2.7273
55877,30.0,2023-07-06T15:52:36Z,34.297805000000004,-119.78841249999999,3.509333333333333
55817,40.0,2023-06-30T00:52:25Z,34.2572075,-120.55573,0.21392307692307697
55818,40.0,2023-06-30T03:58:54Z,34.25009,-120.537525,0.21490909090909094
55819,40.0,2023-06-30T07:00:14Z,34.2485375,-120.516155,0.2344
55820,40.0,2023-06-30T09:56:10Z,34.24785,-120.4872425,0.36775
55821,40.0,2023-06-30T12:45:24Z,34.246129999999994,-120.4582775,0.28800000000000003
55822,40.0,2023-06-30T15:25:42Z,34.2435525,-120.43620250000001,0.18566666666666667
55823,40.0,2023-06-30T18:06:05Z,34.240285,-120.414965,0.19980000000000003
55824,40.0,2023-06-30T20:42:06Z,34.23317,-120.38898,0.22390909090909092
55825,40.0,2023-06-30T23:16:11Z,34.2236725,-120.3613375,0.21175000000000002
55826,40.0,2023-07-01T01:58:50Z,34.2151225,-120.3392525,0.21245454545454548
55827,40.0,2023-07-01T04:42:38Z,34.21045,-120.3217175,0.18954545454545454
55828,40.0,2023-07-01T07:27:50Z,34.206154999999995,-120.29866249999999,0.20446153846153842
55829,40.0,2023-07-01T10:16:43Z,34.2017475,-120.26787250000001,0.2064
55830,40.0,2023-07-01T13:11:04Z,34.197404999999996,-120.23255,0.1930909090909091
55831,40.0,2023-07-01T16:17:48Z,34.1916275,-120.192595,0.19963636363636364
55832,40.0,2023-07-01T19:18:44Z,34.1848825,-120.15658,0.1905
55833,40.0,2023-07-01T22:24:42Z,34.1999775,-120.1295025,0.1866
55834,40.0,2023-07-02T01:28:53Z,34.2270125,-120.1192575,0.198
55835,40.0,2023-07-02T04:28:53Z,34.254795,-120.11623750000001,0.20427272727272727
55836,40.0,2023-07-02T07:28:44Z,34.278785,-120.1080575,0.19950000000000004
55837,40.0,2023-07-02T10:28:27Z,34.29374,-120.09042249999999,0.20861538461538456
55838,40.0,2023-07-02T13:32:36Z,34.296890000000005,-120.0723725,0.2053636363636364
55839,40.0,2023-07-02T16:35:57Z,34.295100000000005,-120.0585775,0.20509090909090907
55840,40.0,2023-07-02T19:36:42Z,34.29085,-120.0433575,0.21525000000000002
55841,40.0,2023-07-02T22:38:04Z,34.28554,-120.02241000000001,0.2545
55842,40.0,2023-07-03T01:40:52Z,34.2823925,-119.99865249999999,0.22690909090909087
55843,40.0,2023-07-03T04:41:44Z,34.279325,-119.9778775,0.30709090909090914
55844,40.0,2023-07-03T07:42:49Z,34.274625,-119.95594750000001,0.28650000000000003
55845,40.0,2023-07-03T10:43:04Z,34.2684525,-119.9251275,0.6559090909090909
55846,40.0,2023-07-03T13:47:06Z,34.2785275,-119.92771499999999,0.35250000000000004
55847,40.0,2023-07-03T16:48:10Z,34.270105,-119.9238125,0.3965
55848,40.0,2023-07-03T19:50:16Z,34.284912500000004,-119.91667000000001,0.39875
55849,40.0,2023-07-03T22:49:42Z,34.2764,-119.912925,0.5522307692307692
55850,40.0,2023-07-04T01:48:44Z,34.26526,-119.928685,0.5673000000000001
55851,40.0,2023-07-04T04:51:06Z,34.2741575,-119.9206625,0.6611538461538462
55852,40.0,2023-07-04T07:57:26Z,34.2596275,-119.92432,0.93925
55853,40.0,2023-07-04T11:01:28Z,34.2679825,-119.9175175,0.97225
55854,40.0,2023-07-04T14:02:22Z,34.265139999999995,-119.9271425,0.4869230769230769
55855,40.0,2023-07-04T17:03:18Z,34.2769425,-119.92040750000001,0.61225
55856,40.0,2023-07-04T20:02:28Z,34.267685,-119.9229125,0.7245
55857,40.0,2023-07-04T23:03:20Z,34.2757925,-119.9129225,0.9359999999999999
55858,40.0,2023-07-05T02:05:32Z,34.265452499999995,-119.9212875,0.5626363636363635
55859,40.0,2023-07-05T05:07:57Z,34.2597225,-119.910505,0.8777999999999999
55860,40.0,2023-07-05T08:07:57Z,34.2585,-119.89403,1.3045
55861,40.0,2023-07-05T10:59:46Z,34.25777,-119.8755725,1.420909090909091
55862,40.0,2023-07-05T13:37:32Z,34.2612725,-119.85255500000001,0.7403076923076923
55863,40.0,2023-07-05T16:07:06Z,34.254255,-119.857565,0.7974545454545455
55864,40.0,2023-07-05T18:37:26Z,34.26403,-119.852985,0.5326363636363637
55865,40.0,2023-07-05T20:58:32Z,34.2607525,-119.85002,1.3980000000000001
55866,40.0,2023-07-05T23:21:26Z,34.2749125,-119.85566,0.6954545454545454
55867,40.0,2023-07-06T01:31:37Z,34.283575,-119.8448725,0.5223
55868,40.0,2023-07-06T03:28:48Z,34.2861725,-119.83194,0.49063636363636365
55869,40.0,2023-07-06T05:14:36Z,34.2901525,-119.822455,0.43336363636363634
55870,40.0,2023-07-06T06:59:06Z,34.2943925,-119.8176075,0.700909090909091
55871,40.0,2023-07-06T08:42:15Z,34.29796,-119.81554750000001,1.029
55872,40.0,2023-07-06T10:27:22Z,34.2986275,-119.8135025,1.0066363636363638
55873,40.0,2023-07-06T11:53:22Z,34.29839,-119.81095,0.7131
55874,40.0,2023-07-06T13:13:35Z,34.298135,-119.80511,1.2291818181818182
55875,40.0,2023-07-06T14:12:05Z,34.298100000000005,-119.79968500000001,1.8066
55876,40.0,2023-07-06T15:03:00Z,34.29807,-119.79414,1.7334
55877,40.0,2023-07-06T15:52:36Z,34.297805000000004,-119.78841249999999,2.155666666666667
55817,50.0,2023-06-30T00:52:25Z,34.2572075,-120.55573,0.17169230769230767
55818,50.0,2023-06-30T03:58:54Z,34.25009,-120.537525,0.18975
55819,50.0,2023-06-30T07:00:14Z,34.2485375,-120.516155,0.1984615384615385
55820,50.0,2023-06-30T09:56:10Z,34.24785,-120.4872425,0.22038461538461535
55821,50.0,2023-06-30T12:45:24Z,34.246129999999994,-120.4582775,0.213
55822,50.0,2023-06-30T15:25:42Z,34.2435525,-120.43620250000001,0.18
55823,50.0,2023-06-30T18:06:05Z,34.240285,-120.414965,0.17154545454545453
55824,50.0,2023-06-30T20:42:06Z,34.23317,-120.38898,0.19900000000000004
55825,50.0,2023-06-30T23:16:11Z,34.2236725,-120.3613375,0.19009090909090906
55826,50.0,2023-07-01T01:58:50Z,34.2151225,-120.3392525,0.1843636363636363
55827,50.0,2023-07-01T04:42:38Z,34.21045,-120.3217175,0.17700000000000002
55828,50.0,2023-07-01T07:27:50Z,34.206154999999995,-120.29866249999999,0.18484615384615383
55829,50.0,2023-07-01T10:16:43Z,34.2017475,-120.26787250000001,0.18499999999999997
55830,50.0,2023-07-01T13:11:04Z,34.197404999999996,-120.23255,0.18463636363636365
55831,50.0,2023-07-01T16:17:48Z,34.1916275,-120.192595,0.18545454545454546
55832,50.0,2023-07-01T19:18:44Z,34.1848825,-120.15658,0.1791818181818182
55833,50.0,2023-07-01T22:24:42Z,34.1999775,-120.1295025,0.17890909090909093
55834,50.0,2023-07-02T01:28:53Z,34.2270125,-120.1192575,0.1875
55835,50.0,2023-07-02T04:28:53Z,34.254795,-120.11623750000001,0.18654545454545454
55836,50.0,2023-07-02T07:28:44Z,34.278785,-120.1080575,0.18954545454545454
55837,50.0,2023-07-02T10:28:27Z,34.29374,-120.09042249999999,0.18875
55838,50.0,2023-07-02T13:32:36Z,34.296890000000005,-120.0723725,0.1930909090909091
55839,50.0,2023-07-02T16:35:57Z,34.295100000000005,-120.0585775,0.19145454545454543
55840,50.0,2023-07-02T19:36:42Z,34.29085,-120.0433575,0.18800000000000003
55841,50.0,2023-07-02T22:38:04Z,34.28554,-120.02241000000001,0.20809090909090908
55842,50.0,2023-07-03T01:40:52Z,34.2823925,-119.99865249999999,0.19938461538461538
55843,50.0,2023-07-03T04:41:44Z,34.279325,-119.9778775,0.229
55844,50.0,2023-07-03T07:42:49Z,34.274625,-119.95594750000001,0.2544545454545455
55845,50.0,2023-07-03T10:43:04Z,34.2684525,-119.9251275,0.4008
55846,50.0,2023-07-03T13:47:06Z,34.2785275,-119.92771499999999,0.32075000000000004
55847,50.0,2023-07-03T16:48:10Z,34.270105,-119.9238125,0.3370909090909091
55848,50.0,2023-07-03T19:50:16Z,34.284912500000004,-119.91667000000001,0.3440000000000001
55849,50.0,2023-07-03T22:49:42Z,34.2764,-119.912925,0.42518181818181816
55850,50.0,2023-07-04T01:48:44Z,34.26526,-119.928685,0.4107272727272728
55851,50.0,2023-07-04T04:51:06Z,34.2741575,-119.9206625,0.38275
55852,50.0,2023-07-04T07:57:26Z,34.2596275,-119.92432,0.50075
55853,50.0,2023-07-04T11:01:28Z,34.2679825,-119.9175175,0.6044999999999999
55854,50.0,2023-07-04T14:02:22Z,34.265139999999995,-119.9271425,0.4399090909090908
55855,50.0,2023-07-04T17:03:18Z,34.2769425,-119.92040750000001,0.325
55856,50.0,2023-07-04T20:02:28Z,34.267685,-119.9229125,0.5173636363636364
55857,50.0,2023-07-04T23:03:20Z,34.2757925,-119.9129225,0.5907272727272727
55858,50.0,2023-07-05T02:05:32Z,34.265452499999995,-119.9212875,0.372
55859,50.0,2023-07-05T05:07:57Z,34.2597225,-119.910505,0.5541
55860,50.0,2023-07-05T08:07:57Z,34.2585,-119.89403,0.47345454545454546
55861,50.0,2023-07-05T10:59:46Z,34.25777,-119.8755725,0.52625
55862,50.0,2023-07-05T13:37:32Z,34.2612725,-119.85255500000001,0.33575000000000005
55863,50.0,2023-07-05T16:07:06Z,34.254255,-119.857565,0.48272727272727267
55864,50.0,2023-07-05T18:37:26Z,34.26403,-119.852985,0.30375
55865,50.0,2023-07-05T20:58:32Z,34.2607525,-119.85002,0.4442727272727273
55866,50.0,2023-07-05T23:21:26Z,34.2749125,-119.85566,0.32925000000000004
